Timestamp;DSOax;DSOay;DSOaz;DSOgx;DSOgy;DSOgz;W12ax;W12ay;W12az;MDLmx;MDLmy;MDLmz
-1382486663;-1;-3;1004;70;140;560;-11;-41;996;-882;831;-142
-1381930457;-1;-3;1004;70;140;560;-9;-41;1007;-877;829;-135
-1381374273;0;-1;1012;280;0;490;-9;-41;1007;-877;829;-135
-1380818075;0;-1;1012;280;-70;560;-10;-41;1016;-880;832;-145
-1380261875;0;-1;1025;280;-70;560;-10;-41;1016;-880;832;-145
-1379705681;0;-2;1026;210;0;560;-10;-38;1014;-880;828;-139
-1379149475;0;-2;1026;210;0;560;-10;-36;1007;-885;832;-133
-1378593285;-1;-2;1017;210;70;560;-10;-36;1007;-885;832;-133
-1378037103;-2;-2;1010;210;0;490;-9;-37;1006;-876;832;-141
-1377480899;-2;-2;1010;210;0;490;-9;-37;1006;-880;835;-136
-1376924711;-1;-1;1018;280;-140;490;-7;-44;1016;-880;835;-136
-1376368507;-1;-1;1018;280;0;490;-9;-37;1017;-883;826;-139
-1375812301;0;0;1026;350;0;490;-9;-37;1017;-883;826;-135
-1375256123;0;-1;1022;210;70;490;-10;-40;1011;-870;837;-135
-1374699919;0;-1;1022;210;70;490;-10;-37;1007;-885;847;-136
-1374143717;-1;-3;1013;140;0;490;-10;-37;1007;-885;847;-136
-1373587521;-1;-3;1020;280;0;490;-9;-40;1011;-873;837;-144
-1373031321;0;-2;1020;280;0;490;-9;-40;1011;-885;834;-151
-1372475133;0;0;1026;210;0;490;-7;-39;1014;-885;834;-151
-1371918937;0;0;1026;210;0;560;-10;-39;1009;-886;831;-135
-1371362735;0;-2;1019;140;70;560;-10;-39;1009;-886;844;-144
-1370806547;-1;-3;1016;140;0;560;-10;-36;1007;-886;844;-144
-1370250351;-1;-3;1016;140;0;560;-10;-36;1007;-877;837;-136
-1369694145;0;-1;1019;210;0;490;-10;-40;1017;-877;837;-136
-1369137947;0;-1;1019;210;0;490;-8;-40;1015;-888;834;-138
-1368581771;0;0;1020;210;0;490;-8;-40;1015;-888;844;-136
-1368025547;0;0;1022;140;0;490;-9;-40;1015;-888;844;-136
-1367469369;0;0;1022;140;0;490;-8;-40;1013;-883;840;-141
-1366913175;0;0;1019;210;0;490;-8;-40;1013;-889;837;-138
-1366356969;0;-2;1018;210;0;490;-12;-41;1009;-889;837;-138
-1365800775;0;-2;1018;210;0;490;-12;-41;1009;-877;837;-144
-1365244587;0;-2;1020;210;0;560;-10;-41;1017;-886;834;-142
-1364688385;0;-2;1020;210;0;560;-9;-42;1016;-886;834;-142
-1364132195;1;-1;1021;210;0;560;-9;-42;1016;-873;835;-139
-1363575989;0;-2;1020;140;0;490;-10;-40;1012;-873;835;-139
-1363019805;0;-2;1020;140;0;490;-10;-40;1012;-885;840;-144
-1362463605;0;-1;1018;210;0;560;-10;-37;1010;-889;831;-147
-1361907411;-1;-1;1019;210;0;560;-8;-36;1014;-889;831;-147
-1361351211;-1;-1;1019;210;0;560;-8;-36;1014;-885;834;-136
-1360795019;0;-1;1021;140;0;560;-10;-39;1014;-882;840;-144
-1360238817;0;-1;1021;140;0;560;-10;-37;1011;-882;840;-144
-1359682629;-2;-1;1020;140;0;560;-10;-37;1011;-885;835;-144
-1359126439;0;-3;1019;140;70;490;-12;-40;1008;-885;835;-138
-1358570227;0;-3;1019;140;70;490;-12;-40;1008;-882;835;-138
-1358014037;-2;-3;1018;210;0;490;-10;-39;1014;-888;841;-147
-1357457833;-1;-2;1020;210;0;490;-9;-40;1011;-888;841;-147
-1356901635;-1;-2;1020;210;0;490;-9;-40;1011;-885;838;-141
-1356345451;-2;-1;1020;210;70;490;-9;-41;1010;-885;835;-141
-1355789255;-2;-1;1020;210;0;490;-9;-41;1010;-885;835;-141
-1355233055;-1;0;1018;140;0;490;-9;-36;1010;-877;834;-142
-1354676861;0;0;1020;210;0;560;-7;-38;1012;-877;829;-144
-1354120669;0;0;1020;210;0;560;-7;-38;1012;-877;829;-144
-1353564473;-1;-2;1019;140;0;560;-10;-38;1015;-879;832;-139
-1353008275;-1;-2;1019;140;0;560;-10;-38;1010;-879;832;-139
-1352452071;0;-2;1019;140;0;560;-10;-38;1010;-877;829;-144
-1351895883;0;-1;1019;140;0;490;-11;-40;1011;-888;843;-133
-1351339675;0;-1;1019;140;0;490;-11;-40;1011;-888;843;-133
-1350783489;0;-2;1019;210;0;490;-9;-39;1014;-883;834;-147
-1350227303;0;-1;1020;210;0;490;-8;-42;1016;-885;832;-138
-1349671093;0;-1;1020;210;0;490;-8;-42;1016;-885;832;-138
-1349114911;0;-1;1019;210;70;560;-10;-39;1011;-883;834;-132
-1348558707;0;-1;1019;140;70;560;-10;-39;1011;-883;835;-142
-1348002499;0;-1;1020;140;70;560;-9;-39;1009;-882;835;-142
-1347446317;0;-2;1019;140;70;560;-7;-40;1013;-874;841;-139
-1346890111;0;-2;1019;140;70;560;-7;-40;1013;-874;841;-139
-1346333919;0;-2;1020;140;0;490;-10;-40;1010;-880;834;-136
-1345777725;-1;-1;1019;140;0;490;-9;-39;1014;-885;841;-138
-1345221521;-1;-1;1019;140;0;490;-9;-39;1014;-885;841;-138
-1344665333;-1;-1;1018;140;70;490;-11;-39;1009;-891;843;-142
-1344109137;-1;-1;1018;140;0;490;-11;-39;1009;-874;835;-141
-1343552935;0;0;1019;140;0;490;-9;-38;1010;-874;835;-141
-1342996745;0;0;1020;210;0;490;-9;-37;1015;-886;840;-138
-1342440549;0;0;1020;210;0;490;-9;-37;1015;-886;840;-141
-1341884345;-1;0;1019;210;0;560;-9;-37;1010;-885;843;-141
-1341328167;-1;-1;1019;210;0;490;-9;-37;1010;-888;841;-136
-1340771971;-1;-1;1019;210;0;490;-10;-38;1015;-888;841;-136
-1340215769;0;-1;1019;140;0;490;-8;-40;1017;-882;838;-138
-1339659567;0;-1;1019;210;0;560;-8;-40;1017;-880;841;-142
-1339103375;0;-2;1020;210;0;560;-11;-40;1015;-880;841;-142
-1338547169;0;-2;1019;210;0;490;-8;-40;1015;-879;834;-138
-1337990975;0;-2;1019;210;0;490;-8;-40;1015;-877;825;-136
-1337434795;0;-1;1019;140;70;490;-11;-38;1013;-877;825;-136
-1336878587;0;-1;1019;210;0;490;-11;-38;1013;-879;829;-141
-1336322403;0;-1;1019;210;0;490;-9;-39;1010;-879;829;-141
-1335766201;0;-2;1019;210;70;560;-10;-39;1010;-879;832;-141
-1335209991;0;-2;1019;210;0;560;-10;-39;1010;-880;844;-141
-1334653807;0;-1;1021;210;0;560;-10;-38;1010;-880;844;-141
-1334097611;0;-1;1020;140;70;490;-10;-38;1010;-883;834;-139
-1333541413;0;-1;1020;140;70;490;-10;-41;1015;-880;840;-129
-1332985219;-1;-2;1019;140;70;490;-10;-39;1012;-880;840;-129
-1332429021;-1;-2;1019;210;0;490;-10;-39;1012;-879;837;-130
-1331872823;0;-1;1019;210;0;490;-10;-40;1012;-883;826;-148
-1331316639;0;-1;1018;140;0;490;-9;-39;1013;-883;826;-148
-1330760427;0;-1;1018;140;0;490;-9;-39;1013;-886;838;-136
-1330204231;0;-1;1020;140;0;490;-8;-41;1009;-886;838;-136
-1329648033;0;-1;1019;140;0;490;-8;-41;1009;-880;844;-141
-1329091841;0;-1;1019;140;0;490;-9;-40;1011;-874;840;-141
-1328535649;0;-1;1018;140;0;490;-8;-39;1012;-874;840;-141
-1327979455;0;-1;1018;210;0;560;-8;-39;1012;-879;837;-142
-1327423255;0;-1;1020;210;0;560;-10;-37;1010;-889;843;-139
-1326867061;0;-1;1020;210;0;560;-10;-37;1010;-889;843;-139
-1326310869;0;-1;1020;210;0;560;-11;-40;1016;-882;829;-142
-1325754667;-1;-2;1020;210;0;560;-10;-40;1013;-882;829;-144
-1325198469;-1;-3;1019;210;0;490;-10;-40;1013;-886;844;-144
-1324642271;-1;-3;1019;210;0;490;-12;-36;1012;-886;838;-147
-1324086071;-1;-1;1020;210;70;560;-10;-37;1015;-886;838;-147
-1323529875;-1;-1;1020;140;70;560;-10;-37;1015;-883;840;-144
-1322973689;-2;-1;1019;140;70;560;-10;-39;1010;-879;831;-139
-1322417497;-1;0;1019;210;0;560;-10;-39;1010;-879;831;-139
-1321861289;-1;0;1019;210;0;560;-9;-40;1012;-880;837;-144
-1321305111;-1;-2;1019;210;70;490;-10;-40;1012;-880;828;-141
-1320748907;0;-1;1020;210;0;490;-10;-40;1012;-880;828;-141
-1320192699;0;-1;1020;210;0;490;-9;-38;1012;-883;834;-139
-1319636513;-1;-1;1019;210;0;490;-9;-38;1012;-883;834;-139
-1319080307;-1;-1;1019;210;0;490;-10;-38;1011;-883;832;-139
-1318524119;0;-2;1019;210;0;490;-9;-39;1015;-880;838;-144
-1317967927;-2;-3;1019;140;0;560;-9;-39;1015;-880;838;-144
-1317411731;-2;-3;1019;140;0;560;-10;-40;1016;-888;835;-141
-1316855529;1;-1;1020;210;0;560;-10;-39;1012;-891;835;-132
-1316299341;1;-1;1019;210;0;490;-10;-39;1012;-891;835;-132
-1315743133;0;-1;1019;210;0;490;-10;-41;1009;-879;829;-142
-1315186953;0;-1;1019;140;0;560;-10;-41;1009;-882;838;-136
-1314630749;0;-1;1019;140;0;560;-9;-41;1014;-882;838;-136
-1314074545;0;-1;1019;210;0;560;-9;-42;1012;-876;844;-148
-1313518357;0;-1;1019;140;0;560;-9;-42;1012;-876;844;-148
-1312962171;0;-1;1019;140;0;560;-10;-41;1011;-882;828;-145
-1312405967;0;-1;1020;140;0;490;-10;-41;1011;-892;844;-138
-1311849767;0;-1;1019;140;0;490;-10;-38;1006;-892;844;-138
-1311293573;0;-2;1019;140;0;490;-8;-41;1012;-877;846;-142
-1310737367;-1;-1;1019;140;0;490;-8;-41;1012;-877;838;-138
-1310181177;-1;-1;1019;140;0;490;-10;-40;1014;-877;838;-138
-1309624981;0;-2;1019;210;0;490;-9;-37;1011;-880;829;-145
-1309068785;0;-2;1019;210;0;490;-9;-37;1011;-880;829;-145
-1308512593;0;-2;1019;210;0;490;-10;-42;1013;-876;832;-145
-1307956401;0;-1;1020;210;70;490;-10;-42;1013;-880;840;-144
-1307400197;0;-1;1020;140;0;490;-9;-40;1015;-880;840;-144
-1306844007;-1;-1;1019;140;0;490;-8;-42;1007;-882;834;-144
-1306287811;-1;-1;1019;140;0;560;-8;-42;1007;-885;831;-141
-1305731611;-1;-1;1019;140;0;560;-10;-40;1013;-885;831;-141
-1305175417;-2;-1;1019;210;0;560;-10;-40;1013;-874;840;-139
-1304619221;-1;-1;1020;210;0;560;-9;-37;1007;-877;837;-142
-1304063023;-1;-1;1020;210;0;560;-8;-40;1010;-877;837;-142
-1303506839;-2;-1;1019;210;0;560;-8;-40;1010;-880;837;-136
-1302950629;-2;-1;1019;210;0;490;-10;-40;1015;-880;837;-136
-1302394439;-2;-1;1019;210;0;490;-10;-35;1010;-888;837;-141
-1301838233;-1;-2;1019;210;70;560;-10;-35;1010;-879;832;-139
-1301282041;-1;-2;1019;210;70;560;-9;-40;1013;-879;832;-139
-1300725845;-1;-1;1019;210;0;490;-9;-40;1013;-880;829;-139
-1300169657;0;-1;1020;140;0;560;-8;-40;1016;-877;831;-138
-1299613465;0;-1;1020;140;0;560;-9;-41;1009;-877;831;-138
-1299057261;0;-1;1020;140;0;490;-9;-41;1009;-882;838;-153
-1298501069;0;-1;1020;210;70;490;-8;-39;1012;-885;837;-148
-1297944869;0;-1;1020;210;70;490;-8;-39;1012;-885;837;-148
-1297388665;0;-2;1019;140;70;490;-10;-41;1011;-883;837;-151
-1296832471;0;-2;1019;140;70;490;-9;-40;1013;-883;837;-151
-1296276271;0;-1;1021;210;70;490;-9;-40;1013;-886;835;-151
-1295720075;0;-1;1020;210;0;490;-11;-39;1012;-885;837;-139
-1295163889;0;-1;1020;210;0;490;-9;-39;1015;-885;837;-139
-1294607693;0;-1;1019;140;0;490;-9;-39;1015;-873;843;-141
-1294051493;0;-1;1019;140;0;490;-9;-41;1014;-880;832;-138
-1293495301;0;-1;1019;140;0;490;-9;-41;1014;-880;832;-138
-1292939107;0;0;1019;210;0;560;-8;-41;1012;-880;844;-150
-1292382901;0;0;1019;210;0;560;-9;-39;1007;-880;844;-148
-1291826723;0;-1;1020;140;0;490;-9;-39;1007;-886;835;-148
-1291270527;0;-1;1020;140;0;490;-9;-38;1010;-883;846;-150
-1290714319;-1;-1;1019;140;0;490;-9;-38;1010;-883;846;-150
-1290158125;-1;-2;1020;210;0;560;-10;-40;1010;-879;841;-141
-1289601929;-1;-2;1020;210;0;560;-10;-37;1014;-882;841;-141
-1289045723;-1;0;1020;210;0;490;-10;-37;1014;-882;841;-141
-1288489537;-2;0;1020;210;70;560;-10;-37;1011;-885;831;-145
-1287933333;-2;0;1020;210;70;560;-8;-38;1013;-886;832;-132
-1287377143;-2;-2;1019;140;0;560;-8;-38;1013;-886;832;-132
-1286820951;-2;-2;1019;140;0;560;-9;-40;1013;-880;840;-147
-1286264743;-2;-2;1020;140;0;560;-9;-40;1013;-880;840;-147
-1285708567;-1;-3;1020;210;0;560;-10;-38;1012;-885;829;-135
-1285152351;-1;-3;1020;210;0;560;-9;-38;1009;-874;831;-142
-1284596167;0;-2;1019;210;0;560;-9;-38;1009;-874;831;-142
-1284039967;0;-2;1019;140;0;490;-9;-36;1012;-885;840;-145
-1283483775;0;-2;1019;140;0;490;-9;-36;1012;-877;835;-144
-1282927587;0;-1;1021;210;0;490;-9;-41;1013;-877;835;-144
-1282371385;0;-1;1021;140;70;560;-10;-38;1014;-874;829;-139
-1281815179;0;-1;1019;140;70;560;-10;-38;1014;-874;834;-136
-1281258987;0;-1;1020;210;0;560;-10;-41;1010;-885;834;-136
-1280702803;0;-1;1020;210;0;560;-8;-42;1014;-880;835;-145
-1280146589;1;-1;1018;210;0;490;-8;-42;1014;-880;835;-145
-1279590405;0;-2;1018;210;0;490;-10;-43;1012;-889;837;-141
-1279034215;0;-2;1018;210;0;490;-10;-43;1012;-876;829;-151
-1278478013;1;-1;1020;210;0;490;-11;-40;1013;-876;829;-151
-1277921809;1;-1;1020;140;0;490;-10;-40;1012;-882;834;-139
-1277365625;0;-2;1018;140;0;490;-10;-40;1012;-882;829;-136
-1276809425;0;0;1020;140;70;560;-9;-41;1010;-882;829;-136
-1276253223;0;0;1020;140;70;560;-9;-41;1010;-882;834;-138
-1275697021;0;-2;1020;210;0;490;-9;-40;1017;-882;834;-135
-1275140829;0;-2;1019;210;70;490;-10;-35;1014;-885;832;-135
-1274584633;-1;-2;1019;210;70;490;-10;-35;1014;-879;846;-139
-1274028445;-1;-1;1021;210;0;490;-8;-38;1014;-879;846;-139
-1273472235;-1;-1;1021;210;0;560;-10;-39;1012;-882;834;-145
-1272916045;0;-2;1019;140;0;560;-10;-39;1012;-882;837;-142
-1272359847;-2;-1;1019;140;0;490;-9;-40;1015;-882;837;-142
-1271803659;-2;-1;1019;140;0;490;-9;-40;1015;-880;837;-151
-1271247463;-2;-2;1018;140;0;560;-13;-38;1010;-882;828;-133
-1270691257;-2;-2;1018;210;0;490;-10;-38;1009;-882;828;-133
-1270135073;-1;-1;1021;210;0;490;-10;-38;1009;-882;835;-139
-1269578875;0;-1;1019;140;0;490;-8;-39;1011;-882;835;-139
-1269022671;0;-1;1019;140;0;490;-8;-39;1011;-883;831;-135
-1268466477;-1;0;1021;140;0;560;-8;-40;1013;-886;838;-147
-1267910293;0;-2;1018;140;70;490;-9;-36;1014;-886;838;-147
-1267354085;0;-2;1018;140;70;490;-9;-36;1014;-879;826;-132
-1266797893;0;-2;1019;210;70;490;-9;-41;1011;-877;838;-148
-1266241689;0;-2;1019;210;70;490;-9;-41;1014;-877;838;-148
-1265685501;1;-1;1021;210;70;490;-9;-41;1014;-877;835;-139
-1265129305;0;-1;1019;210;0;490;-10;-43;1015;-885;829;-136
-1264573113;0;-1;1019;210;0;490;-10;-43;1015;-885;829;-136
-1264016923;0;0;1020;140;0;490;-9;-39;1010;-879;841;-139
-1263460707;0;-2;1018;140;0;560;-11;-38;1007;-879;841;-139
-1262904511;0;-2;1018;140;0;560;-11;-38;1007;-894;844;-129
-1262348325;0;-1;1020;140;0;490;-9;-41;1010;-880;840;-139
-1261792129;0;-1;1020;140;0;490;-9;-41;1010;-880;840;-139
-1261235943;0;-2;1019;140;0;490;-9;-39;1014;-879;837;-138
-1260679737;0;-1;1019;140;0;560;-10;-36;1013;-885;840;-144
-1260123533;0;-1;1019;140;0;560;-10;-36;1013;-885;840;-144
-1259567343;-1;-1;1019;140;0;490;-10;-40;1015;-868;837;-138
-1259011149;0;-1;1020;140;0;490;-9;-39;1015;-868;837;-144
-1258454957;0;-1;1020;140;0;490;-9;-39;1015;-879;829;-144
-1257898761;-1;-2;1020;140;0;490;-9;-40;1012;-877;846;-136
-1257342551;-1;-2;1020;140;0;560;-9;-40;1012;-877;846;-136
-1256786367;-1;-2;1019;140;0;560;-11;-39;1009;-877;832;-141
-1256230165;-1;-3;1018;210;0;560;-10;-35;1011;-880;840;-144
-1255673975;-1;-3;1018;210;0;560;-10;-35;1011;-880;840;-144
-1255117787;-1;-2;1019;210;0;490;-9;-41;1013;-879;838;-133
-1254561585;-1;-2;1021;210;0;490;-9;-41;1013;-886;840;-132
-1254005387;-2;-1;1021;210;0;490;-9;-40;1012;-886;840;-132
-1253449185;-1;-1;1019;140;0;560;-9;-37;1007;-876;832;-135
-1252892995;-1;-1;1019;140;0;490;-9;-37;1007;-876;832;-135
-1252336789;-1;-2;1019;140;0;490;-10;-37;1009;-877;834;-147
-1251780593;0;-1;1020;210;0;490;-9;-39;1015;-880;841;-141
-1251224415;0;-1;1020;210;0;490;-9;-39;1015;-880;841;-141
-1250668213;0;-1;1019;140;0;490;-9;-41;1012;-886;828;-147
-1250112011;0;-1;1019;140;0;490;-9;-41;1012;-879;838;-141
-1249555819;0;-1;1019;140;0;490;-10;-43;1014;-879;838;-141
-1248999625;0;-1;1019;140;0;560;-10;-41;1010;-888;837;-139
-1248443421;0;-1;1019;140;0;560;-10;-41;1010;-891;828;-142
-1247887223;0;-1;1020;140;0;490;-10;-42;1009;-891;828;-142
-1247331029;0;-1;1020;140;70;490;-10;-42;1009;-873;844;-147
-1246774831;0;-1;1020;140;70;490;-8;-40;1011;-873;844;-147
-1246218633;0;-2;1020;210;0;560;-8;-43;1010;-880;837;-139
-1245662435;0;-2;1020;140;0;490;-8;-43;1010;-880;835;-133
-1245106251;0;-1;1020;140;0;490;-9;-39;1010;-880;835;-133
-1244550055;-1;0;1019;210;70;490;-10;-39;1010;-886;838;-133
-1243993867;-1;0;1019;210;70;490;-10;-39;1010;-880;829;-144
-1243437663;-1;-1;1020;140;0;560;-10;-38;1009;-880;829;-144
-1242881455;-1;-2;1019;140;0;560;-10;-38;1009;-883;838;-136
-1242325261;-1;-2;1019;140;0;560;-11;-36;1014;-883;838;-139
-1241769067;0;-2;1019;140;0;560;-7;-40;1014;-874;835;-139
-1241212875;0;-2;1019;210;0;490;-7;-40;1014;-880;840;-145
-1240656679;0;0;1019;210;0;490;-10;-38;1012;-880;840;-145
-1240100493;0;-1;1022;210;70;560;-10;-38;1012;-879;831;-150
-1239544285;0;-1;1022;210;70;560;-8;-40;1011;-883;837;-145
-1238988087;-2;-1;1019;140;70;490;-9;-43;1009;-883;837;-145
-1238431889;-1;-1;1018;140;0;490;-9;-43;1009;-876;826;-136
-1237875701;-1;-1;1018;140;0;490;-10;-37;1010;-883;832;-148
-1237319505;-1;-1;1019;210;0;560;-9;-38;1009;-883;832;-148
-1236763313;-1;-1;1019;210;0;490;-9;-38;1009;-879;837;-145
-1236207109;0;-1;1020;140;0;490;-8;-39;1011;-879;837;-145
-1235650909;0;-1;1019;140;0;490;-8;-39;1011;-874;834;-142
-1235094715;0;-1;1019;140;0;490;-10;-39;1015;-882;838;-142
-1234538521;0;-1;1019;140;0;560;-10;-40;1012;-882;838;-142
-1233982329;0;-1;1019;140;70;560;-10;-40;1012;-882;841;-147
-1233426129;0;-2;1019;140;70;560;-11;-41;1009;-880;834;-144
-1232869927;0;-1;1020;140;0;560;-11;-41;1009;-880;834;-144
-1232313743;0;-1;1020;140;0;490;-8;-39;1006;-882;834;-136
-1231757541;0;-1;1020;210;0;490;-10;-43;1011;-882;834;-133
-1231201351;0;-2;1018;140;0;560;-10;-43;1011;-880;834;-133
-1230645157;0;-2;1018;140;0;560;-10;-39;1010;-883;846;-139
-1230088957;0;-1;1020;140;0;560;-10;-39;1009;-883;846;-139
-1229532751;0;-1;1020;140;0;560;-10;-39;1009;-879;837;-141
-1228976565;0;-1;1019;140;0;560;-10;-39;1013;-879;835;-144
-1228420363;0;-1;1020;210;0;490;-10;-39;1013;-879;835;-144
-1227864175;0;-1;1020;210;0;490;-9;-36;1012;-877;834;-150
-1227307987;-1;-1;1019;140;0;490;-9;-41;1013;-879;843;-141
-1226751779;0;-1;1020;140;0;490;-9;-41;1013;-879;843;-141
-1226195587;0;-1;1020;140;0;490;-10;-38;1011;-879;837;-142
-1225639387;-1;-1;1019;140;0;560;-10;-38;1011;-879;837;-142
-1225083203;-1;-1;1019;140;0;560;-10;-38;1005;-882;840;-145
-1224526989;-1;-2;1019;140;0;560;-10;-44;1015;-874;846;-144
-1223970801;0;-1;1020;140;0;560;-10;-44;1015;-874;846;-144
-1223414615;0;-1;1020;140;0;560;-8;-39;1013;-888;843;-150
-1222858411;-1;-2;1019;140;0;490;-9;-37;1006;-876;823;-141
-1222302209;-1;-1;1019;210;0;490;-9;-37;1006;-876;823;-141
-1221746017;-1;-1;1019;210;0;490;-9;-37;1015;-879;835;-138
-1221189825;-1;0;1019;140;70;560;-9;-37;1015;-888;832;-142
-1220633623;-1;0;1019;140;70;490;-8;-40;1015;-888;832;-142
-1220077439;-1;-1;1020;140;70;490;-9;-40;1012;-877;826;-132
-1219521229;0;-2;1019;140;0;490;-9;-40;1012;-877;826;-132
-1218965031;0;-2;1019;140;0;490;-11;-39;1012;-886;834;-136
-1218408831;0;-1;1019;140;70;560;-11;-39;1012;-879;837;-139
-1217852655;0;-1;1020;140;0;490;-10;-38;1009;-879;837;-139
-1217296451;0;-1;1020;140;0;490;-11;-44;1013;-880;838;-141
-1216740255;-1;-2;1019;140;70;490;-11;-44;1013;-879;838;-136
-1216184065;-1;-2;1019;140;0;490;-8;-39;1011;-879;838;-136
-1215627861;0;-1;1019;70;0;490;-10;-38;1008;-883;829;-142
-1215071655;0;-2;1020;140;0;490;-10;-38;1008;-883;834;-139
-1214515479;0;-2;1020;140;0;490;-9;-36;1017;-882;834;-139
-1213959283;0;-2;1020;140;0;560;-9;-36;1017;-882;841;-142
-1213403071;0;-2;1019;70;0;490;-10;-38;1012;-882;841;-142
-1212846877;0;0;1019;70;0;490;-9;-42;1016;-883;838;-142
-1212290675;0;-1;1019;140;0;560;-9;-42;1016;-882;840;-142
-1211734485;0;-1;1019;140;0;560;-8;-39;1008;-882;840;-142
-1211178287;0;-1;1018;210;0;560;-8;-39;1008;-885;835;-144
-1210622099;0;-1;1019;140;0;560;-10;-39;1010;-885;835;-147
-1210065903;0;-1;1019;140;0;560;-9;-40;1012;-885;835;-147
-1209509705;0;-1;1020;140;0;560;-9;-40;1012;-885;840;-139
-1208953501;0;-1;1020;210;0;560;-9;-38;1011;-885;840;-139
-1208397317;0;-1;1020;210;0;560;-10;-40;1005;-879;831;-138
-1207841117;0;-1;1019;210;0;490;-10;-40;1005;-885;843;-139
-1207284915;0;-1;1019;210;0;490;-10;-40;1015;-885;843;-139
-1206728721;0;-2;1019;140;0;560;-10;-40;1015;-879;835;-144
-1206172529;-1;-2;1019;140;70;560;-10;-40;1013;-876;838;-136
-1205616329;-1;-2;1019;140;70;560;-11;-41;1011;-876;838;-136
-1205060137;-1;-1;1020;140;70;490;-11;-41;1011;-873;834;-145
-1204503939;-1;-1;1020;210;0;490;-8;-39;1012;-885;835;-144
-1203947741;-1;-2;1020;210;0;490;-8;-39;1012;-885;835;-144
-1203391551;-1;-1;1020;140;0;490;-10;-40;1011;-882;835;-147
-1202835343;-1;-1;1020;140;0;490;-9;-39;1010;-882;835;-147
-1202279161;0;-2;1019;140;70;490;-9;-39;1010;-880;831;-145
-1201722971;0;0;1020;140;0;560;-8;-39;1013;-886;825;-142
-1201166767;0;0;1020;140;0;560;-10;-38;1009;-886;825;-142
-1200610569;0;-1;1020;140;0;490;-10;-38;1009;-874;840;-135
-1200054373;0;-1;1020;140;0;490;-10;-38;1017;-876;829;-141
-1199498181;0;-2;1020;140;0;490;-10;-38;1017;-876;829;-141
-1198941981;0;-2;1019;140;70;490;-8;-40;1010;-885;832;-142
